id,task_id,sender_id,recipient_id,content,created_at
dd0e8400-e29b-41d4-a716-446655440001,aa0e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440001,Hello! I can fix your leaking sink today. What time works for you?,2024-01-28 11:05:00
dd0e8400-e29b-41d4-a716-446655440002,aa0e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,Hi! Can you come around 2 PM today?,2024-01-28 11:15:00
dd0e8400-e29b-41d4-a716-446655440003,aa0e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440001,Perfect! I'll be there at 2 PM. Please send me your exact address.,2024-01-28 11:20:00
dd0e8400-e29b-41d4-a716-446655440004,aa0e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440003,Hi! I'm available this Saturday for the cleaning. Is that okay?,2024-01-26 10:30:00
dd0e8400-e29b-41d4-a716-446655440005,aa0e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440004,Saturday works great! What time can you start?,2024-01-26 11:00:00
dd0e8400-e29b-41d4-a716-446655440006,aa0e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440003,I can start at 8 AM. Should take about 6 hours for deep cleaning.,2024-01-26 11:15:00
dd0e8400-e29b-41d4-a716-446655440007,aa0e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440005,Hello! I'd like to see the bookshelf design. Do you have any photos of previous work?,2024-01-27 14:00:00
dd0e8400-e29b-41d4-a716-446655440008,aa0e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440006,Yes! I'll send you my portfolio. What type of wood do you prefer?,2024-01-27 14:30:00
dd0e8400-e29b-41d4-a716-446655440009,aa0e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655440006,Hi! I'll send you 3 logo concepts by tomorrow. Do you have any color preferences?,2024-01-20 13:00:00
dd0e8400-e29b-41d4-a716-446655440010,aa0e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440012,I prefer warm colors - red orange or yellow. Restaurant name is Spice Garden.,2024-01-20 14:00:00
dd0e8400-e29b-41d4-a716-446655440011,aa0e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440005,Hello! When would you like to start the tuition classes?,2024-01-25 13:00:00
dd0e8400-e29b-41d4-a716-446655440012,aa0e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440008,Can we start next week? Monday Wednesday Friday evenings?,2024-01-25 14:00:00
